Date,Sentiment Value
23-09-2021,0.4827125
07-10-2021,0.49835
08-10-2021,0.4947
12-10-2021,0.49665
13-10-2021,0.631425
15-10-2021,-0.01925
18-10-2021,-0.59505
19-10-2021,0.67395
20-10-2021,0.034
21-10-2021,0.5646
28-10-2021,0.71815
29-10-2021,0.72895
04-11-2021,0.46855
08-11-2021,0.4874
09-11-2021,0.49945
17-11-2021,0.4277
30-11-2021,0.0386
01-12-2021,-0.42025
03-12-2021,-0.34025
05-12-2021,0.46655
13-12-2021,-0.37815
14-12-2021,0.6862
15-12-2021,0.4903
16-12-2021,0.5621
17-12-2021,0.49535
18-12-2021,0.5929
20-12-2021,0.66715
22-12-2021,0.356975
23-12-2021,0.589175
24-12-2021,0.4881
26-12-2021,0.7196
27-12-2021,0.49105
28-12-2021,0.5959
31-12-2021,0.45425
01-01-2022,0.82565
04-01-2022,0.6345
05-01-2022,0.35495
10-01-2022,0.8845
15-01-2022,0.657575
16-01-2022,0.4957
17-01-2022,0.49075
18-01-2022,0.49365
19-01-2022,0.35755
21-01-2022,0.49215
24-01-2022,0.47825
25-01-2022,0.649275
27-01-2022,0.6233125
31-01-2022,0.29295
01-02-2022,0.44745
02-02-2022,0.4945
03-02-2022,0.51935
04-02-2022,0.2541
06-02-2022,0.49745
07-02-2022,0.49285
09-02-2022,0.579875
10-02-2022,0.73855
15-02-2022,0.195175
17-02-2022,0.47505
18-02-2022,0.4936
19-02-2022,0.4943
22-02-2022,0.398783333
24-02-2022,0.61065
25-02-2022,0.494
28-02-2022,0.17645
01-03-2022,0.413475
02-03-2022,-0.48215
03-03-2022,-0.242325
04-03-2022,0.5047
05-03-2022,0.24695
07-03-2022,0.64685
08-03-2022,0.605225
09-03-2022,0.49605
10-03-2022,0.298125
11-03-2022,0.47885
13-03-2022,0.11265
16-03-2022,0.817925
17-03-2022,0.57825
18-03-2022,0.65715
21-03-2022,0.35185
22-03-2022,0.26045
23-03-2022,0.59805
24-03-2022,0.5776
25-03-2022,0.72935
28-03-2022,0.02492
29-03-2022,-0.011125
30-03-2022,0.4931
01-04-2022,0.0319
03-04-2022,0.66595
04-04-2022,-0.47185
05-04-2022,0.50785
07-04-2022,0.90025
08-04-2022,0.62745
11-04-2022,0.71945
12-04-2022,0.715175
14-04-2022,0.78535
15-04-2022,0.4927
18-04-2022,0.79845
19-04-2022,0.176675
21-04-2022,0.605075
22-04-2022,0.463425
23-04-2022,0.71585
24-04-2022,0.49605
25-04-2022,0.49075
26-04-2022,0.49675
27-04-2022,0.2604125
28-04-2022,0.4719
01-05-2022,0.8264
02-05-2022,0.69875
03-05-2022,0.4992
05-05-2022,-0.2997
08-05-2022,0.49575
09-05-2022,0.793125
11-05-2022,0.7958
12-05-2022,0.4959
14-05-2022,0.7192
16-05-2022,0.64505
17-05-2022,0.4874
18-05-2022,0.477325
19-05-2022,0.4769
22-05-2022,0.30085
23-05-2022,0.13265
24-05-2022,0.39825
26-05-2022,0.8172
27-05-2022,0.727
28-05-2022,0.8175
01-06-2022,0.78305
02-06-2022,0.3512
03-06-2022,0.38585
04-06-2022,0.49555
07-06-2022,-0.28705
08-06-2022,0.2147
09-06-2022,0.34423
10-06-2022,0.370975
13-06-2022,-0.100566667
15-06-2022,0.45765
16-06-2022,0.7272
18-06-2022,-0.1806
19-06-2022,-0.09695
20-06-2022,0.6584875
21-06-2022,0.58225
22-06-2022,0.4879
23-06-2022,0.3581125
24-06-2022,0.704166667
25-06-2022,0.07435
27-06-2022,0.767375
28-06-2022,-0.060125
30-06-2022,0.26305
01-07-2022,-0.049633333
04-07-2022,0.42185
05-07-2022,0.45935
07-07-2022,0.140325
08-07-2022,0.09505
09-07-2022,0.6806
11-07-2022,0.48035
12-07-2022,-0.159675
13-07-2022,0.4843
14-07-2022,0.6606
17-07-2022,0.4951
18-07-2022,0.682475
19-07-2022,0.775
20-07-2022,0.100775
21-07-2022,0.2028
22-07-2022,0.6087
23-07-2022,0.48875
25-07-2022,0.5643625
26-07-2022,0.5579
27-07-2022,0.70785
28-07-2022,0.817633333
29-07-2022,0.495025
31-07-2022,0.47675
01-08-2022,0.42948
02-08-2022,0.615383333
03-08-2022,0.85395
04-08-2022,0.45535
06-08-2022,0.62165
09-08-2022,0.2620125
10-08-2022,0.477025
11-08-2022,0.69925
12-08-2022,0.46365
14-08-2022,0.2943
15-08-2022,0.8254
16-08-2022,0.5230875
18-08-2022,0.6979
19-08-2022,0.64935
20-08-2022,0.49785
21-08-2022,0.89565
22-08-2022,0.5332875
23-08-2022,0.5553
24-08-2022,0.4212
25-08-2022,0.065225
26-08-2022,0.72125
29-08-2022,0.49785
30-08-2022,-0.008825
01-09-2022,0.221266667
03-09-2022,-0.3758
04-09-2022,0.6403
05-09-2022,0.201533333
06-09-2022,0.6141
07-09-2022,-0.0663
08-09-2022,0.15965
